,name
0,New York
1,Washington
2,Rhode Island
3,Florida
4,Mississippi
5,Oregon
6,Utah
7,Vermont
8,New Jersey
9,Wyoming
10,Indiana
11,Arizona
12,Massachusetts
13,Nevada
14,Louisiana
15,Connecticut
16,Tennessee
17,Wisconsin
18,Illinois
19,Oklahoma
20,Alabama
21,Nebraska
22,Hawaii
23,Arkansas
24,Missouri
25,Kansas
26,Pennsylvania
27,Colorado
28,Minnesota
29,Virginia
30,Maryland
31,New Hampshire
32,Maine
33,North Dakota
34,Michigan
35,New Mexico
36,West Virginia
37,Alaska
38,California
39,South Carolina
40,Ohio
41,Montana
42,South Dakota
43,North Carolina
44,Kentucky
45,Georgia
46,Idaho
47,Iowa
48,Delaware
